//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-26-2020
//--  Time: 11:29
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 42200.0 Ohms
//--    Temperature1: 68.0(F), 	Resistance 1: 41500.0 Ohms 
//--    Temperature2: 122.0(F), 	Resistance 2: 11850.0 Ohms 
//--    Temperature3: 185.0(F), 	Resistance 3: 3500.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
203	127.98	1280 	0.991
204	127.69	1277 	0.996
205	127.39	1274 	1.001
206	127.10	1271 	1.006
207	126.81	1268 	1.011
208	126.53	1265 	1.016
209	126.24	1262 	1.021
210	125.95	1260 	1.025
211	125.67	1257 	1.030
212	125.38	1254 	1.035
213	125.10	1251 	1.040
214	124.82	1248 	1.045
215	124.54	1245 	1.050
216	124.26	1243 	1.055
217	123.99	1240 	1.060
218	123.71	1237 	1.064
219	123.43	1234 	1.069
220	123.16	1232 	1.074
221	122.89	1229 	1.079
222	122.62	1226 	1.084
223	122.35	1223 	1.089
224	122.08	1221 	1.094
225	121.81	1218 	1.099
226	121.54	1215 	1.104
227	121.27	1213 	1.108
228	121.01	1210 	1.113
229	120.75	1207 	1.118
230	120.48	1205 	1.123
231	120.22	1202 	1.128
232	119.96	1200 	1.133
233	119.70	1197 	1.138
234	119.44	1194 	1.143
235	119.18	1192 	1.147
236	118.93	1189 	1.152
237	118.67	1187 	1.157
238	118.41	1184 	1.162
239	118.16	1182 	1.167
240	117.91	1179 	1.172
241	117.65	1177 	1.177
242	117.40	1174 	1.182
243	117.15	1172 	1.187
244	116.90	1169 	1.191
245	116.65	1167 	1.196
246	116.41	1164 	1.201
247	116.16	1162 	1.206
248	115.91	1159 	1.211
249	115.67	1157 	1.216
250	115.42	1154 	1.221
251	115.18	1152 	1.226
252	114.94	1149 	1.230
253	114.70	1147 	1.235
254	114.46	1145 	1.240
255	114.22	1142 	1.245
256	113.98	1140 	1.250
257	113.74	1137 	1.255
258	113.50	1135 	1.260
259	113.26	1133 	1.265
260	113.03	1130 	1.270
261	112.79	1128 	1.274
262	112.56	1126 	1.279
263	112.32	1123 	1.284
264	112.09	1121 	1.289
265	111.86	1119 	1.294
266	111.63	1116 	1.299
267	111.40	1114 	1.304
268	111.16	1112 	1.309
269	110.94	1109 	1.313
270	110.71	1107 	1.318
271	110.48	1105 	1.323
272	110.25	1103 	1.328
273	110.02	1100 	1.333
274	109.80	1098 	1.338
275	109.57	1096 	1.343
276	109.35	1093 	1.348
277	109.13	1091 	1.353
278	108.90	1089 	1.357
279	108.68	1087 	1.362
280	108.46	1085 	1.367
281	108.24	1082 	1.372
282	108.02	1080 	1.377
283	107.80	1078 	1.382
284	107.58	1076 	1.387
285	107.36	1074 	1.392
286	107.14	1071 	1.396
287	106.92	1069 	1.401
288	106.70	1067 	1.406
289	106.49	1065 	1.411
290	106.27	1063 	1.416
291	106.06	1061 	1.421
292	105.84	1058 	1.426
293	105.63	1056 	1.431
294	105.42	1054 	1.436
295	105.20	1052 	1.440
296	104.99	1050 	1.445
297	104.78	1048 	1.450
298	104.57	1046 	1.455
299	104.36	1044 	1.460
300	104.15	1041 	1.465
301	103.94	1039 	1.470
302	103.73	1037 	1.475
303	103.52	1035 	1.479
304	103.31	1033 	1.484
305	103.11	1031 	1.489
306	102.90	1029 	1.494
307	102.69	1027 	1.499
308	102.49	1025 	1.504
309	102.28	1023 	1.509
310	102.08	1021 	1.514
311	101.87	1019 	1.519
312	101.67	1017 	1.523
313	101.47	1015 	1.528
314	101.26	1013 	1.533
